รหัสพัสดุ,ชื่อพัสดุ,หน่วย,ราคากลาง,ราคามาตรฐาน,Ref_เหนือ,Ref_อีสาน,Ref_กลาง,Ref_ใต้,Std_เหนือ,Std_อีสาน,Std_กลาง,Std_ใต้
1000030008,PILE 0.44X0.44X8.5 M. 14 T-M. (T1),EA,,,10430,10190,10270,10640,10430,10190,10270,10640
1000030009,PILE 0.44X0.44X8.5 M. 14 T-M. (T2),EA,,,10810,10560,10650,11010,10810,10560,10650,11010
1000030010,PILE 0.44X0.44X8.5 M. 14 T-M (T3),EA,,,10950,10710,10780,11150,10950,10710,10780,11150
1000030011,PILE 0.44X0.44X8.5 M. 14 T-M. (T4),EA,,,11330,11080,11170,11530,11330,11080,11170,11530
1000030100,PILE 0.44X0.44X14 M. 10 T-M. (T1),EA,,,13310,12940,13110,13620,13310,12940,13110,13620
1000030101,PILE 0.44X0.44X14 M. 10 T-M. (T2),EA,,,13690,13310,13490,14000,13690,13310,13490,14000
1000030102,PILE 0.44X0.44X14 M. 10 T-M. (T3),EA,,,14000,13640,13800,14320,14000,13640,13800,14320
1000030103,PILE 0.44X0.44X14 M. 10 T-M. (T4),EA,,,14380,14000,14180,14690,14380,14000,14180,14690
1000030104,PILE 0.44X0.44X14 M. 14 T-M. (T1),EA,,,16990,16610,16730,17320,16990,16610,16730,17320
1000030105,PILE 0.44X0.44X14 M. 14 T-M. (T2),EA,,,17380,16970,17110,17700,17380,16970,17110,17700
1000030106,PILE 0.44X0.44X14 M. 14 T-M. (T3),EA,,,17480,17090,17210,17810,17480,17090,17210,17810
1000030107,PILE 0.44X0.44X14 M. 14 T-M. (T4),EA,,,18070,17670,17800,18390,18070,17670,17800,18390
1000040001,"ANCHOR,PLATE, CONCRETE 550X550X150 MM.",EA,,,220,216,218,226,220,216,218,226
1000040003,"ANCHOR, PLATE, CONCRETE 600X600X180 MM.",EA,,,317,311,313,324,317,311,313,324
1000050000,CONC. FOOTING 1.10X2.15X2.30 M.,EA,,,18080,17540,18950,18220,18080,17540,18950,18220
1000050002,CONC. F. 22 M. C/E DWG.IB1-018/36025,EA,,,,,,,13000,13000,11380,13000
1000050003,CONC. FOOTING 1.00X1.00X3.50 M.,EA,,,18110,17590,18310,18310,18110,17590,18310,18310
1000050007,CONC. F. 22 M. C/E DWG.IB2-011/42009,EA,,,,,,,8000,8000,8000,7500
1000050010,CONC. F. 22 M. C/E DWG.IB2-011/42004,EA,,,,,,,10800,10800,8224,10800
1000050012,CONC. FOOTING 0.90X1.40X3.00 M.,EA,,,17170,16670,17370,17320,17170,16670,17370,17320
1000050013,CONC. FOOTING 0.90X2.20X2.30 M.,EA,,,14550,14050,14670,14680,14550,14050,14670,14680
1000050014,CONC. FOOTING 0.90X1.10X3.00 M.,EA,,,15160,14740,15370,15310,15160,14740,15370,15310
1000050015,CONC. F. 22M. C/E DWG.IB4-A3/62020,EA,,,14560,14130,14810,14610,14560,14130,14810,14610
1000050016,"CONC. F. 22M., ON HEAD DWG.IB4-A3/62025",EA,,,19230,18510,19460,19300,19230,18510,19460,19300
1000050017,"CONC. F. 22M., O/E DWG.IB4-A3/63021",EA,,,14560,14040,14760,14590,14560,14040,14760,14590
1000050100,"CONC. F.12.2 &14.3,O/E DWG.IB3-011/49006",EA,,,11160,10730,11020,11380,11160,10730,11020,11380
1000050101,"CONC.F.12.20&14.30 ,C/E DWG.IB4-A3/64003",EA,,,16950,16250,16950,17040,16950,16250,16950,17040
1000050102,"CONC.F,12.20&14.30,PCAST, IB3-011/49005",EA,,,,,,,17590,17290,17510,18080
1000050105,"CONC.F,12.20&14.30.,PCAST,VARY0.5M.",EA,,,,,,,8580,8220,8590,8590
1000050106,"CONC.F,12.20&14.30,PILE,PCAST,VARY2M.",EA,,,,,,,11070,10620,11110,11090
1000050107,"CONC.F2,12.20&14.30,PILE,PCAST,VARY2M.",EA,,,,,,,20470,19650,20590,20550
1000060001,"POLE, STEEL, OCTAGONAL. 20.00 M LONG",EA,,230000,,,,,,,,
1000060002,"POLE, STEEL, OCTAGONAL, 22.10 M LONG",EA,,380000,,,,,,,,
1000100000,"CROSSARM, WOOD, 2,500X100X100 MM.",EA,,275,,,,,,,,
1000100001,"CROSSARM, WOOD, 1,500X100X100 MM.",EA,,145,,,,,,,,
1000100002,"CROSSARM, WOOD, 2,500X100X100 MM.",EA,,275,,,,,,,,
1000100003,"CROSSARM, WOOD, 3,000X100X120 MM.",EA,,430,,,,,,,,
1000100006,"CROSSARM, WOOD, 6,500X125X125 MM.",EA,,1385,,,,,,,,
1000110000,"CROSSARM 100X100X1,500 MM.",EA,,,272,268,268,270,272,268,268,270
1000110001,"CROSSARM 100X100X2,500 MM.",EA,,,536,528,528,540,536,528,528,540
1000110002,"CROSSARM 120X120X3,000 MM.",EA,,,934,920,919,940,934,920,919,940
1000110003,"CROSSARM (FOR D/E) 120X120X2,000 MM.",EA,,,641,631,631,650,641,631,631,650
1000110004,"CROSSARM (FOR D/E) 120X120X2,500 MM.",EA,,,949,936,934,960,949,936,934,960
1000110006,"CROSSARM 100X100X2,500 MM. HPC",EA,,,478,476,472,490,478,476,472,490
1000110007,"CROSSARM 100X100X3,200 MM. HPC",EA,,,573,569,565,588,573,569,565,588
1000110008,"CROSSARM 120X120X2,000 MM. HPC",EA,,,562,559,554,575,562,559,554,575
1000110009,"CROSSARM 120X120X2,500 MM. HPC",EA,,,663,657,653,678,663,657,653,678
1000110010,"CROSSARM 120X120X3,000 MM. HPC",EA,,,767,761,754,786,767,761,754,786
1000120001,CROSSARM ST. 100X50X3.2 MM. 4.2 M.LONG,EA,,2563,,,,,,,,
1000120002,CROSSARM ST. 150X150X12 MM. 4.5 M.LONG,EA,6016,6016,,,,,,,,
1000120003,CROSSARM ST. 150X150X12 MM. 5 M.LONG,EA,,4040,,,,,,,,
1000120004,"CROSSARM, ALLEY ARM150X75X9 MM. 3 M.LONG",EA,3965,3965,,,,,,,,
1000120005,CROSSARM ST. 100X100X3.2 MM. 2.5 M.LONG,EA,,3207,,,,,,,,
1000120006,CROSSARM ST. 100X100X3.2 MM. 2 M.LONG,EA,1688,1688,,,,,,,,
1000120007,CROSSARM ST. 100X100X3.2 MM. 3 M.LONG,EA,,3583,,,,,,,,
1000120100,CROSSARM COM ST.100x50x5MM. 1M.LONG.ACC.,PAK,,568,,,,,,,,
1000120101,CROSSARM COM ST 100X50X5MM.1.7M.LONG ACC,PAK,,1300,,,,,,,,
1000130100,CROSSARM COM FRP 100X50X10MM 1.7M L ACC,PAK,,2611,,,,,,,,
1000130101,CROSSARM COM FRP 100X50X10MM 1M ACC,PAK,,1877,,,,,,,,
1000200001,"BEAM,HARD WOOD 100X100X3,200 MM.",EA,,380,,,,,,,,
1000200004,"BEAM,HARD WOOD 100X200X3,500 MM.",EA,,750,,,,,,,,
1000210000,"BEAM, SPUN 100X100X3,200 MM.",EA,,,656,645,646,666,656,645,646,666
1000210001,"BEAM 150X250X3,450 MM.",EA,,,,,,,600,460,600,540
1000210003,"BEAM 150X250X3,550 MM.",EA,,,942,919,928,963,942,919,928,963
1000210004,"BEAM 150X300X4,600 MM.",EA,,,1737,1700,1714,1773,1737,1700,1714,1773
1010000100,"ST. CHANNEL, 100X50X5 MM. 2.25 M.LONG",EA,1076,1076,,,,,,,,
1010000101,"ST. CHANNEL,OHGW D/E, 100X50X5 MM. 3 M.",EA,,700,,,,,,,,
1010000103,"ST. CHANNEL, 100X50X5 MM. 4.2 M.LONG",EA,1898,1901,,,,,,,,
1010000106,"ST. CHANNEL, 100X50X5 MM., 2.5 M.LONG",EA,,1371,,,,,,,,
1010000201,"ST. CHANNEL, 125X65X6 MM., 3 M.LONG",EA,,2038,,,,,,,,
1010000202,"ST. CHANNEL, 125X65X6 MM. 2.5 M.LONG",EA,,1928,,,,,,,,
1010000301,"ST. CHANNEL, 150X75X6.5 MM. 4 M.LONG",EA,,5716,,,,,,,,
1010000302,"ST. CHANNEL, 150X75X6.5 MM. 4.5 M.LONG",EA,4645,4645,,,,,,,,
1010000303,"ST. CHANNEL, 150X75X6.5 MM. 6 M.LONG",EA,6118,6118,,,,,,,,
1010000304,ST. CHANNEL 150X75X6.5 MM. 2.5 M.LONG,EA,3399,3399,,,,,,,,
1010000400,"ST. CHANNEL, 200X80X7.5 MM. 1 M.LONG",EA,1756,1756,,,,,,,,
1010000401,"ST. CHANNEL, 200X80X7.5 MM. 6 M.LONG",EA,,9682,,,,,,,,
1010010000,"ST. ANGLE 65X65X6 MM. 1,000 MM.LONG",EA,275,275,,,,,,,,
1010010002,"ST. ANG.,OHGW. COR. BAYONET 2.25 M..LONG",EA,,1191,,,,,,,,
1010010003,"ST. ANG.,OHGW. BAYONET 2.25 M.LONG",EA,630,630,,,,,,,,
1010010004,"ST. ANG.,OHGW. BAYONET 2.5M.LONG",EA,702,702,,,,,,,,
1010010005,"ST. ANG.,OHGW. CORNER BAYONET 2.5 M.LONG",EA,1356,1356,,,,,,,,
1010010006,"ST. ANG.,OHGW. BAYONET 3 M.LONG",EA,,295,,,,,,,,
